province,province_code,city,city_code,city_EN,province_EN
安徽省,340000,安庆市,340800,Anqing,Anhui
安徽省,340000,蚌埠市,340300,Bengbu,Anhui
安徽省,340000,亳州市,341600,Bozhou,Anhui
安徽省,340000,池州市,341700,Chizhou,Anhui
安徽省,340000,滁州市,341100,Chuzhou,Anhui
安徽省,340000,阜阳市,341200,Fuyang,Anhui
安徽省,340000,合肥市,340100,Hefei,Anhui
安徽省,340000,淮北市,340600,Huaibei,Anhui
安徽省,340000,淮南市,340400,Huainan,Anhui
安徽省,340000,黄山市,341000,Huangshan,Anhui
安徽省,340000,六安市,341500,Lu'an,Anhui
安徽省,340000,马鞍山市,340500,Ma'anshan,Anhui
安徽省,340000,宿州市,341300,Suzhou,Anhui
安徽省,340000,铜陵市,340700,Tongling,Anhui
安徽省,340000,芜湖市,340200,Wuhu,Anhui
安徽省,340000,宣城市,341800,Xuancheng,Anhui
澳门特别行政区,820000,澳门特别行政区,820000,Macau,Macau
北京市,110000,北京市,110000,Beijing,Beijing
福建省,350000,福州市,350100,Fuzhou,Fujian
福建省,350000,龙岩市,350800,Longyan,Fujian
福建省,350000,南平市,350700,Nanping,Fujian
福建省,350000,宁德市,350900,Ningde,Fujian
福建省,350000,莆田市,350300,Putian,Fujian
福建省,350000,泉州市,350500,Quanzhou,Fujian
福建省,350000,三明市,350400,Sanming,Fujian
福建省,350000,厦门市,350200,Xiamen,Fujian
福建省,350000,漳州市,350600,Zhangzhou,Fujian
甘肃省,620000,白银市,620400,Baiyin,Gansu
甘肃省,620000,定西市,621100,Dingxi,Gansu
甘肃省,620000,甘南藏族自治州,623000,Gannan,Gansu
甘肃省,620000,嘉峪关市,620200,Jiayuguan,Gansu
甘肃省,620000,金昌市,620300,Jinchang,Gansu
甘肃省,620000,酒泉市,620900,Jiuquan,Gansu
甘肃省,620000,兰州市,620100,Lanzhou,Gansu
甘肃省,620000,临夏回族自治州,622900,Linxia,Hainan
甘肃省,620000,陇南市,621200,Longnan,Gansu
甘肃省,620000,平凉市,620800,Pingliang,Gansu
甘肃省,620000,庆阳市,621000,Qingyang,Gansu
甘肃省,620000,天水市,620500,Tianshui,Gansu
甘肃省,620000,武威市,620600,Wuwei,Gansu
甘肃省,620000,张掖市,620700,Zhangye,Gansu
广东省,440000,潮州市,445100,Chaozhou,Guangdong
广东省,440000,东莞市,441900,Dongguan,Guangdong
广东省,440000,佛山市,440600,Foshan,Guangdong
广东省,440000,广州市,440100,Guangzhou,Guangdong
广东省,440000,河源市,441600,Heyuan,Guangdong
广东省,440000,惠州市,441300,Huizhou,Guangdong
广东省,440000,江门市,440700,Jiangmen,Guangdong
广东省,440000,揭阳市,445200,Jieyang,Guangdong
广东省,440000,茂名市,440900,Maoming,Guangdong
广东省,440000,梅州市,441400,Meizhou,Guangdong
广东省,440000,清远市,441800,Qingyuan,Guangdong
广东省,440000,汕头市,440500,Shantou,Guangdong
广东省,440000,汕尾市,441500,Shanwei,Guangdong
广东省,440000,韶关市,440200,Shaoguan,Guangdong
广东省,440000,深圳市,440300,Shenzhen,Guangdong
广东省,440000,阳江市,441700,Yangjiang,Guangdong
广东省,440000,云浮市,445300,Yunfu,Guangdong
广东省,440000,湛江市,440800,Zhanjiang,Guangdong
广东省,440000,肇庆市,441200,Zhaoqing,Guangdong
广东省,440000,中山市,442000,Zhongshan,Guangdong
广东省,440000,珠海市,440400,Zhuhai,Guangdong
广西壮族自治区,450000,百色市,451000,Baise,Guangxi
广西壮族自治区,450000,北海市,450500,Beihai,Guangxi
广西壮族自治区,450000,崇左市,451400,Chongzuo,Guangxi
广西壮族自治区,450000,防城港市,450600,Fangchenggang,Guangxi
广西壮族自治区,450000,贵港市,450800,Guigang,Guangxi
广西壮族自治区,450000,桂林市,450300,Guilin,Guangxi
广西壮族自治区,450000,河池市,451200,Hechi,Guangxi
广西壮族自治区,450000,贺州市,451100,Hezhou,Guangxi
广西壮族自治区,450000,来宾市,451300,Laibin,Guangxi
广西壮族自治区,450000,柳州市,450200,Liuzhou,Guangxi
广西壮族自治区,450000,南宁市,450100,Nanning,Guangxi
广西壮族自治区,450000,钦州市,450700,Qinzhou,Guangxi
广西壮族自治区,450000,梧州市,450400,Wuzhou,Guangxi
广西壮族自治区,450000,玉林市,450900,Yulin,Guangxi
贵州省,520000,安顺市,520400,Anshun,Guizhou
贵州省,520000,毕节市,520500,Bijie,Guizhou
贵州省,520000,贵阳市,520100,Guiyang,Guizhou
贵州省,520000,六盘水市,520200,Liupanshui,Guizhou
贵州省,520000,黔东南苗族侗族自治州,522600,Qiandongnan,Guizhou
贵州省,520000,黔南布依族苗族自治州,522700,Qiannan,guizhou
贵州省,520000,黔西南布依族苗族自治州,522300,Qianxinan,Guizhou
贵州省,520000,铜仁市,520600,Tongren,Guizhou
贵州省,520000,遵义市,520300,Zunyi,Guizhou
海南省,460000,白沙黎族自治县,469025,Baisha,Hainan
海南省,460000,保亭黎族苗族自治县,469029,Baoting,Hainan
海南省,460000,昌江黎族自治县,469026,Changjiang,Hainan
海南省,460000,澄迈县,469023,Chengmai,Hainan
海南省,460000,儋州市,460400,Danzhou,Hainan
海南省,460000,定安县,469021,Ding'an,Hainan
海南省,460000,东方市,469007,Dongfang,Hainan
海南省,460000,海口市,460100,Haikou,Hainan
海南省,460000,乐东黎族自治县,469027,Ledong,Hainan
海南省,460000,临高县,469024,Lingao,Hainan
海南省,460000,陵水黎族自治县,469028,Lingshui,Hainan
海南省,460000,琼海市,469002,Qionghai,Hainan
海南省,460000,琼中黎族苗族自治县,469030,Qiongzhong,Hainan
海南省,460000,三沙市,460300,Sansha,Hainan
海南省,460000,三亚市,460200,Sanya,Hainan
海南省,460000,屯昌县,469022,Tunchang,Hainan
海南省,460000,万宁市,469006,Wanning,Hainan
海南省,460000,文昌市,469005,Wenchang,Hainan
海南省,460000,五指山市,469001,Wuzhishan,Hainan
河北省,130000,保定市,130600,Baoding,Hebei
河北省,130000,沧州市,130900,Cangzhou,Hebei
河北省,130000,承德市,130800,Chengde,Hebei
河北省,130000,邯郸市,130400,Handan,Hebei
河北省,130000,衡水市,131100,Hengshui,Hebei
河北省,130000,廊坊市,131000,Langfang,Hebei
河北省,130000,秦皇岛市,130300,Qinhuangdao,Hebei
河北省,130000,石家庄市,130100,Shijiazhuang,Hebei
河北省,130000,唐山市,130200,Tangshan,Hebei
河北省,130000,邢台市,130500,Xingtai,Hebei
河北省,130000,张家口市,130700,Zhangjiakou,Hebei
河南省,410000,安阳市,410500,Anyang,Henan
河南省,410000,鹤壁市,410600,Hebi,Henan
河南省,410000,济源市,419001,Jiyuan,Henan
河南省,410000,焦作市,410800,Jiaozuo,Henan
河南省,410000,开封市,410200,Kaifeng,Henan
河南省,410000,洛阳市,410300,Luoyang,Henan
河南省,410000,漯河市,411100,Luohe,Henan
河南省,410000,南阳市,411300,Nanyang,Henan
河南省,410000,平顶山市,410400,Pingdingshan,Henan
河南省,410000,濮阳市,410900,Puyang,Henan
河南省,410000,三门峡市,411200,Sanmenxia,Henan
河南省,410000,商丘市,411400,Shangqiu,Henan
河南省,410000,新乡市,410700,Xinxiang,Henan
河南省,410000,信阳市,411500,Xinyang,Henan
河南省,410000,许昌市,411000,Xuchang,Henan
河南省,410000,郑州市,410100,Zhengzhou,Henan
河南省,410000,周口市,411600,Zhoukou,Henan
河南省,410000,驻马店市,411700,Zhumadian,Henan
黑龙江省,230000,大庆市,230600,Daqing,Heilongjiang
黑龙江省,230000,大兴安岭地区,232700,Daxinganling,Heilongjiang
黑龙江省,230000,哈尔滨市,230100,Harbin,Heilongjiang
黑龙江省,230000,鹤岗市,230400,Hegang,Heilongjiang
黑龙江省,230000,黑河市,231100,Heihe,Heilongjiang
黑龙江省,230000,鸡西市,230300,Jixi,Heilongjiang
黑龙江省,230000,佳木斯市,230800,Jiamusi,Heilongjiang
黑龙江省,230000,牡丹江市,231000,Mudanjiang,Heilongjiang
黑龙江省,230000,七台河市,230900,Qitaihe,Heilongjiang
黑龙江省,230000,齐齐哈尔市,230200,Qiqihar,Heilongjiang
黑龙江省,230000,双鸭山市,230500,Shuangyashan,Heilongjiang
黑龙江省,230000,绥化市,231200,Suihua,Heilongjiang
黑龙江省,230000,伊春市,230700,Yichun,Heilongjiang
湖北省,420000,鄂州市,420700,Ezhou,Hubei
湖北省,420000,恩施土家族苗族自治州,422800,Enshi,Hubei
湖北省,420000,黄冈市,421100,Huanggang,Hubei
湖北省,420000,黄石市,420200,Huangshi,Hubei
湖北省,420000,荆门市,420800,Jingmen,Hubei
湖北省,420000,荆州市,421000,Jingzhou,Hubei
湖北省,420000,潜江市,429005,Qianjiang,Hubei
湖北省,420000,神农架林区,429021,Shennongjia,Hubei
湖北省,420000,十堰市,420300,Shiyan,Hubei
湖北省,420000,随州市,421300,Suizhou,Hubei
湖北省,420000,天门市,429006,Tianmen,Hubei
湖北省,420000,武汉市,420100,Wuhan,Hubei
湖北省,420000,仙桃市,429004,Xiantao,Hubei
湖北省,420000,咸宁市,421200,Xianning,Hubei
湖北省,420000,襄阳市,420600,Xiangyang,Hubei
湖北省,420000,孝感市,420900,Xiaogan,Hubei
湖北省,420000,宜昌市,420500,Yichang,Hubei
湖南省,430000,常德市,430700,Changde,Hunan
湖南省,430000,郴州市,431000,Chenzhou,Hunan
湖南省,430000,衡阳市,430400,Hengyang,Hunan
湖南省,430000,怀化市,431200,Huaihua,Hunan
湖南省,430000,娄底市,431300,Loudi,Hunan
湖南省,430000,邵阳市,430500,Shaoyang,Hunan
湖南省,430000,湘潭市,430300,Xiangtan,Hunan
湖南省,430000,湘西土家族苗族自治州,433100,Xiangxi,Hunan
湖南省,430000,益阳市,430900,Yiyang,Hunan
湖南省,430000,永州市,431100,Yongzhou,Hunan
湖南省,430000,岳阳市,430600,Yueyang,Hunan
湖南省,430000,张家界市,430800,Zhangjiajie,Hunan
湖南省,430000,长沙市,430100,Changsha,Hunan
湖南省,430000,株洲市,430200,Zhuzhou,Hunan
吉林省,220000,白城市,220800,Baicheng,Jilin
吉林省,220000,白山市,220600,Baishan,Jilin
吉林省,220000,吉林市,220200,Jilin,Jilin
吉林省,220000,辽源市,220400,Liaoyuan,Jilin
吉林省,220000,四平市,220300,Siping,Jilin
吉林省,220000,松原市,220700,Songyuan,Jilin
吉林省,220000,通化市,220500,Tonghua,Jilin
吉林省,220000,延边朝鲜族自治州,222400,Yanbian,Jilin
吉林省,220000,长春市,220100,Changchun,Jilin
江苏省,320000,常州市,320400,Changzhou,Jiangsu
江苏省,320000,淮安市,320800,Huai'an,Jiangsu
江苏省,320000,连云港市,320700,Lianyungang,Jiangsu
江苏省,320000,南京市,320100,Nanjing,Jiangsu
江苏省,320000,南通市,320600,Nantong,Jiangsu
江苏省,320000,苏州市,320500,Suzhou,Jiangsu
江苏省,320000,宿迁市,321300,Suqian,Jiangsu
江苏省,320000,泰州市,321200,Taizhou,Jiangsu
江苏省,320000,无锡市,320200,Wuxi,Jiangsu
江苏省,320000,徐州市,320300,Xuzhou,Jiangsu
江苏省,320000,盐城市,320900,Yancheng,Jiangsu
江苏省,320000,扬州市,321000,Yangzhou,Jiangsu
江苏省,320000,镇江市,321100,Zhenjiang,Jiangsu
江西省,360000,抚州市,361000,Fuzhou,Jiangxi
江西省,360000,赣州市,360700,Ganzhou,Jiangxi
江西省,360000,吉安市,360800,Ji'an,Jiangxi
江西省,360000,景德镇市,360200,Jingdezhen,Jiangxi
江西省,360000,九江市,360400,Jiujiang,Jiangxi
江西省,360000,南昌市,360100,Nanchang,Jiangxi
江西省,360000,萍乡市,360300,Pingxiang,Jiangxi
江西省,360000,上饶市,361100,Shangrao,Jiangxi
江西省,360000,新余市,360500,Xinyu,Jiangxi
江西省,360000,宜春市,360900,Yichun,Jiangxi
江西省,360000,鹰潭市,360600,Yingtan,Jiangxi
辽宁省,210000,鞍山市,210300,Anshan,Liaoning
辽宁省,210000,本溪市,210500,Benxi,Liaoning
辽宁省,210000,朝阳市,211300,Chaoyang,Liaoning
辽宁省,210000,大连市,210200,Dalian,Liaoning
辽宁省,210000,丹东市,210600,Dandong,Liaoning
辽宁省,210000,抚顺市,210400,Fushun,Liaoning
辽宁省,210000,阜新市,210900,Fuxin,Liaoning
辽宁省,210000,葫芦岛市,211400,Huludao,Liaoning
辽宁省,210000,锦州市,210700,Jinzhou,Liaoning
辽宁省,210000,辽阳市,211000,Liaoyang,Liaoning
辽宁省,210000,盘锦市,211100,Panjin,Liaoning
辽宁省,210000,沈阳市,210100,Shenyang,Liaoning
辽宁省,210000,铁岭市,211200,Tieling,Liaoning
辽宁省,210000,营口市,210800,Yingkou,Liaoning
内蒙古自治区,150000,阿拉善盟,152900,Alashanmeng,Neimenggu
内蒙古自治区,150000,巴彦淖尔市,150800,Bayannur,Neimenggu
内蒙古自治区,150000,包头市,150200,Baotou,Neimenggu
内蒙古自治区,150000,赤峰市,150400,Chifeng,Neimenggu
内蒙古自治区,150000,鄂尔多斯市,150600,Ordos,Neimenggu
